,title,author,runtime,release_date,language,ratings
0,81. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins,Release date: 08-15-17,Language: English,"4.5 out of 5 stars
53,272 ratings"
1,82. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins,Release date: 12-28-03,Language: English,"4.5 out of 5 stars
38,879 ratings"
2,83. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins,Release date: 02-03-15,Language: English,"5 out of 5 stars
88,787 ratings"
3,84. The Hunger Games: Special Edition,By: Suzanne Collins,Length: 10 hrs and 35 mins,Release date: 10-30-18,Language: English,"5 out of 5 stars
10,982 ratings"
4,85. The Boys from Biloxi,By: John Grisham,Length: 17 hrs and 22 mins,Release date: 10-18-22,Language: English,"4.5 out of 5 stars
9,844 ratings"
5,86. Atlas of the Heart,By: Brené Brown,Length: 8 hrs and 29 mins,Release date: 02-14-22,Language: English,"5 out of 5 stars
15,485 ratings"
6,87. Six of Crows,By: Leigh Bardugo,Length: 15 hrs and 4 mins,Release date: 09-29-15,Language: English,"4.5 out of 5 stars
19,754 ratings"
7,88. Don't Believe Everything You Think,By: Joseph Nguyen,Length: 2 hrs and 16 mins,Release date: 04-13-22,Language: English,"4.5 out of 5 stars
448 ratings"
8,89. Burner,By: Mark Greaney,Length: 16 hrs and 38 mins,Release date: 02-21-23,Language: English,"5 out of 5 stars
1,838 ratings"
9,90. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins,Release date: 09-16-21,Language: English,"5 out of 5 stars
13,623 ratings"
10,91. He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins,Release date: 03-09-21,Language: English,"5 out of 5 stars
29,536 ratings"
11,92. Attached,"By: Amir Levine, Rachel Heller",Length: 7 hrs and 4 mins,Release date: 11-05-19,Language: English,"5 out of 5 stars
7,775 ratings"
12,93. The Alchemist,By: Paulo Coelho,Length: 4 hrs,Release date: 12-26-04,Language: English,"4.5 out of 5 stars
78,683 ratings"
13,94. Things We Hide from the Light,By: Lucy Score,Length: 17 hrs and 36 mins,Release date: 02-21-23,Language: English,"4.5 out of 5 stars
603 ratings"
14,95. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 19 hrs and 7 mins,Release date: 10-09-12,Language: English,"5 out of 5 stars
62,831 ratings"
15,96. Catching Fire,By: Suzanne Collins,Length: 11 hrs and 3 mins,Release date: 06-17-19,Language: English,"5 out of 5 stars
10,914 ratings"
16,97. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins,Release date: 09-01-15,Language: English,"4 out of 5 stars
11,988 ratings"
17,98. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins,Release date: 02-20-23,Language: English,"4.5 out of 5 stars
656 ratings"
18,99. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins,Release date: 05-01-18,Language: English,"4.5 out of 5 stars
11,384 ratings"
19,100. Local Woman Missing,By: Mary Kubica,Length: 11 hrs and 40 mins,Release date: 05-18-21,Language: English,"4.5 out of 5 stars
26,719 ratings"
